Location,What,Value,Unit
GPU[1].SA[0].CU[2],SIMDCPIStack.Special,0.0529411764705915,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.VALU,5.0,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.VMem,1.8331550802139,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.VMemInst,0.197326203208555,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.total,8.77379679144385,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Branch,0.0264317180616741,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Fetch,0.503083700440531,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Idle,0.0158590308370006,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.LDS,0.57092511013216,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.ScalarInst,0.167400881057268,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.ScalarMem,0.107488986784141,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.ScalarMemInst,0.0026431718061676,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Special,0.0436123348017652,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.VALU,4.11894273127753,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.VMem,1.50925110132159,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.VMemInst,0.162555066079294,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.total,7.22863436123348,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Branch,0.0320855614973263,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Fetch,0.610695187165778,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Idle,0.0192513368983911,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.LDS,0.693048128342248,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.ScalarInst,0.203208556149732,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.ScalarMem,0.13048128342246,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.ScalarMemInst,0.00320855614973286,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Special,0.052941176470592,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.VALU,5.0,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.VMem,1.83208556149733,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.VMemInst,0.197326203208554,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.total,8.77486631016043,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[1].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[1].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[1].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[1].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[1].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[1].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[1].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[2].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[2].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[2].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[2].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[2].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[2].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[2].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[2].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[3].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[3].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[3].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[3].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[3].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[3].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[3].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[3].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[4].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[4].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[4].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[4].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[4].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[4].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[4].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[4].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[5].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[5].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[5].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[5].CU[1],SIMDCPIStack.total,,cycles/inst
