Component,Port,Connection
GPU[1].SA[0].L1STLB,GPU[1].SA[0].L1STLB.Control,GPU[1].InternalConn
GPU[1].SA[0].L1SAddrTrans,GPU[1].SA[0].L1SAddrTrans.Top,GPU[1].SA[0].Conn[16]
GPU[1].SA[0].L1SAddrTrans,GPU[1].SA[0].L1SAddrTrans.Bottom,GPU[1].SA[0].Conn[18]
GPU[1].SA[0].L1SAddrTrans,GPU[1].SA[0].L1SAddrTrans.Translation,GPU[1].SA[0].Conn[17]
GPU[1].SA[0].L1SAddrTrans,GPU[1].SA[0].L1SAddrTrans.Control,GPU[1].InternalConn
GPU[1].SA[0].L1SROB,GPU[1].SA[0].L1SROB.Top,GPU[1].SA[0].ScalarMemConn
GPU[1].SA[0].L1SROB,GPU[1].SA[0].L1SROB.Bottom,GPU[1].SA[0].Conn[16]
GPU[1].SA[0].L1SROB,GPU[1].SA[0].L1SROB.Control,GPU[1].InternalConn
GPU[1].SA[0].L1ITLB,GPU[1].SA[0].L1ITLB.Top,GPU[1].SA[0].Conn[21]
GPU[1].SA[0].L1ITLB,GPU[1].SA[0].L1ITLB.Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[0].L1ITLB,GPU[1].SA[0].L1ITLB.Control,GPU[1].InternalConn
GPU[1].SA[0].L1IAddrTrans,GPU[1].SA[0].L1IAddrTrans.Top,GPU[1].SA[0].Conn[20]
GPU[1].SA[0].L1IAddrTrans,GPU[1].SA[0].L1IAddrTrans.Bottom,GPU[1].L1ToL2
GPU[1].SA[0].L1IAddrTrans,GPU[1].SA[0].L1IAddrTrans.Translation,GPU[1].SA[0].Conn[21]
GPU[1].SA[0].L1IAddrTrans,GPU[1].SA[0].L1IAddrTrans.Control,GPU[1].InternalConn
GPU[1].SA[0].L1ICache,GPU[1].SA[0].L1ICache.Top,GPU[1].SA[0].Conn[19]
GPU[1].SA[0].L1ICache,GPU[1].SA[0].L1ICache.Bottom,GPU[1].SA[0].Conn[20]
GPU[1].SA[0].L1ICache,GPU[1].SA[0].L1ICache.Control,GPU[1].InternalConn
